total_bill,z-score,within_1sd,within_2sd,within_3sd
16.99,-0.31406574275923616,True,True,True
10.34,-1.0610543154877743,False,True,True
21.01,0.13749727413831675,True,True,True
23.68,0.4374159943165417,True,True,True
24.59,0.5396354832162364,True,True,True
25.29,0.6182658592929247,True,True,True
8.77,-1.237411016116918,False,True,True
26.88,0.7968691420956879,True,True,True
15.04,-0.5331075046871533,True,True,True
14.78,-0.562313072944209,True,True,True
10.27,-1.0689173530954432,False,True,True
35.26,1.7381870728423272,False,True,True
15.42,-0.49042244338837965,True,True,True
18.43,-0.15231182625862016,True,True,True
14.83,-0.5566966175101598,True,True,True
21.58,0.20152486608647682,True,True,True
10.33,-1.0621776065745843,False,True,True
16.29,-0.3926961188359243,True,True,True
16.97,-0.31631232493285577,True,True,True
20.65,0.09705879501316246,True,True,True
17.92,-0.2095996716859214,True,True,True
20.29,0.05662031588800856,True,True,True
15.77,-0.45110725535003554,True,True,True
39.42,2.205476164955218,False,False,True
19.82,0.0038256348079465756,True,True,True
17.81,-0.22195587364082986,True,True,True
13.37,-0.7206971161843952,True,True,True
12.69,-0.7970809100874638,True,True,True
21.7,0.2150043591281949,True,True,True
19.65,-0.015270313667820763,True,True,True
9.55,-1.149794311345751,False,True,True
18.35,-0.16129815495309863,True,True,True
15.06,-0.5308609225135336,True,True,True
20.69,0.10155195936040208,True,True,True
17.78,-0.2253257469012591,True,True,True
24.06,0.48010105561531524,True,True,True
16.31,-0.3904495366623047,True,True,True
16.93,-0.320805489280095,True,True,True
18.69,-0.12310625800156434,True,True,True
31.27,1.2899939292052043,False,True,True
16.04,-0.4207783960061701,True,True,True
17.46,-0.26127106167917374,True,True,True
13.94,-0.6566695242362348,True,True,True
9.68,-1.1351915272172233,False,True,True
30.4,1.1922676046527487,False,True,True
18.29,-0.16803790147395786,True,True,True
22.23,0.27453878672911614,True,True,True
32.4,1.4169258220147152,False,True,True
28.55,0.9844587535929301,True,True,True
18.04,-0.19612017864420367,True,True,True
12.54,-0.8139302763896114,True,True,True
10.29,-1.0666707709218237,False,True,True
34.81,1.6876389739358852,False,True,True
9.94,-1.1059859589601677,False,True,True
25.56,0.6485947186367901,True,True,True
19.49,-0.03324297105677809,True,True,True
38.01,2.047092121715031,False,False,True
26.41,0.7440744610156259,True,True,True
11.24,-0.9599581176748895,True,True,True
48.27,3.1995887767819196,False,False,False
20.29,0.05662031588800856,True,True,True
13.81,-0.6712723083647625,True,True,True
11.02,-0.9846705215847058,True,True,True
18.29,-0.16803790147395786,True,True,True
17.59,-0.24666827755064605,True,True,True
20.08,0.03303120306500199,True,True,True
16.45,-0.374723461446967,True,True,True
3.07,-1.8776869355985224,False,True,True
20.23,0.04988056936714971,True,True,True
15.01,-0.5364773779475828,True,True,True
12.02,-0.8723414129037226,True,True,True
17.07,-0.30507941406475725,True,True,True
26.86,0.7946225599220683,True,True,True
25.28,0.617142568206115,True,True,True
14.73,-0.5679295283782579,True,True,True
10.51,-1.0419583670120072,False,True,True
17.92,-0.2095996716859214,True,True,True
27.2,0.8328144568736026,True,True,True
22.76,0.3340732143300374,True,True,True
17.29,-0.2803670101549411,True,True,True
19.44,-0.03885942649082694,True,True,True
16.66,-0.3511343486239604,True,True,True
10.07,-1.0913831748316398,False,True,True
32.68,1.4483779724453907,False,True,True
15.98,-0.42751814252702897,True,True,True
34.83,1.6898855561095045,False,True,True
13.03,-0.7588890131359296,True,True,True
18.28,-0.16916119256076748,True,True,True
24.71,0.5531149762579546,True,True,True
21.16,0.15434664044046406,True,True,True
28.97,1.0316369792389428,False,True,True
22.49,0.3037443549861716,True,True,True
5.75,-1.5766449243334872,False,True,True
16.32,-0.38932624557549467,True,True,True
22.75,0.33294992324322736,True,True,True
40.17,2.2897229964659553,False,False,True
27.28,0.8418007855680815,True,True,True
12.03,-0.8712181218169128,True,True,True
21.01,0.13749727413831675,True,True,True
12.46,-0.8229166050840898,True,True,True
11.35,-0.9476019157199813,True,True,True
15.38,-0.4949156077356189,True,True,True
44.3,2.7536422153184152,False,False,True
22.42,0.2958813173785031,True,True,True
20.92,0.12738765435702828,True,True,True
15.36,-0.49716218990923866,True,True,True
20.49,0.07908613762420512,True,True,True
25.21,0.6092795305984462,True,True,True
18.24,-0.17365435690800712,True,True,True
14.31,-0.615107754024271,True,True,True
14.0,-0.6499297777153757,True,True,True
7.25,-1.4081512613120124,False,True,True
38.07,2.0538318682358905,False,False,True
23.95,0.46774485366040713,True,True,True
25.71,0.6654440849389378,True,True,True
17.31,-0.27812042798132147,True,True,True
29.93,1.1394729235726868,False,True,True
10.65,-1.0262322917966695,False,True,True
12.43,-0.8262864783445195,True,True,True
24.08,0.48234763778893486,True,True,True
11.69,-0.9094100187684471,True,True,True
13.42,-0.715080660750346,True,True,True
14.26,-0.6207242094583202,True,True,True
15.95,-0.4308880157874586,True,True,True
12.48,-0.8206700229104702,True,True,True
29.8,1.1248701394441591,False,True,True
8.52,-1.2654932932871639,False,True,True
14.52,-0.5915186412012645,True,True,True
11.38,-0.9442320424595517,True,True,True
22.82,0.34081296085089624,True,True,True
19.08,-0.07929790561598123,True,True,True
20.27,0.054373733714388944,True,True,True
11.17,-0.9678211552825583,True,True,True
12.26,-0.8453824268202866,True,True,True
18.26,-0.1714077747343871,True,True,True
8.51,-1.2666165843739736,False,True,True
10.33,-1.0621776065745843,False,True,True
14.15,-0.6330804114132282,True,True,True
16.0,-0.42527156035340935,True,True,True
13.16,-0.7442862290074017,True,True,True
17.47,-0.26014777059236416,True,True,True
34.3,1.6303511285085832,False,True,True
41.19,2.4042986873205576,False,False,True
27.05,0.8159650905714553,True,True,True
16.43,-0.3769700436205866,True,True,True
8.35,-1.284589241762931,False,True,True
18.64,-0.1287227134356136,True,True,True
11.87,-0.8891907792058701,True,True,True
9.78,-1.123958616349125,False,True,True
7.51,-1.3789456930549568,False,True,True
14.07,-0.6420667401077069,True,True,True
13.13,-0.7476561022678311,True,True,True
17.26,-0.28373688341537034,True,True,True
24.55,0.5351423188689972,True,True,True
19.77,-0.0017908206261026652,True,True,True
29.85,1.1304865948782084,False,True,True
48.17,3.188355865913821,False,False,False
25.0,0.5856904177754396,True,True,True
13.39,-0.7184505340107755,True,True,True
16.49,-0.37023029709972777,True,True,True
21.5,0.19253853739199836,True,True,True
12.66,-0.8004507833478933,True,True,True
16.21,-0.4016824475304028,True,True,True
13.81,-0.6712723083647625,True,True,True
17.51,-0.25565460624512454,True,True,True
24.52,0.5317724456085676,True,True,True
20.76,0.10941499696807094,True,True,True
31.71,1.3394187370248372,False,True,True
10.59,-1.0329720383175285,False,True,True
10.63,-1.028478873970289,False,True,True
50.81,3.4849047128316166,False,False,False
15.81,-0.4466140910027961,True,True,True
7.25,-1.4081512613120124,False,True,True
31.85,1.3551448122401748,False,True,True
16.82,-0.33316169123500305,True,True,True
32.9,1.4730903763552068,False,True,True
17.89,-0.212969544946351,True,True,True
14.48,-0.5960118055485037,True,True,True
9.6,-1.144177855911702,False,True,True
34.63,1.6674197343733084,False,True,True
34.65,1.6696663165469274,False,True,True
23.33,0.39810080627819744,True,True,True
45.35,2.8715877794334483,False,False,True
23.17,0.3801281488892405,True,True,True
40.55,2.332408057764728,False,False,True
20.69,0.10155195936040208,True,True,True
20.9,0.12514107218340825,True,True,True
30.46,1.1990073511736081,False,True,True
18.15,-0.1837639766892956,True,True,True
23.1,0.37226511128157164,True,True,True
15.69,-0.4600935840445142,True,True,True
19.81,0.002702343721136568,True,True,True
28.44,0.9721025516380221,True,True,True
15.48,-0.4836826968675206,True,True,True
16.58,-0.3601206773184393,True,True,True
7.56,-1.3733292376209079,False,True,True
10.34,-1.0610543154877743,False,True,True
43.11,2.6199705759880456,False,False,True
13.0,-0.762258886396359,True,True,True
13.51,-0.7049710409690576,True,True,True
18.71,-0.12085967582794473,True,True,True
12.74,-0.7914644546534146,True,True,True
13.0,-0.762258886396359,True,True,True
16.4,-0.3803399168810162,True,True,True
20.53,0.08357930197144475,True,True,True
16.47,-0.3724768792733474,True,True,True
26.59,0.7642937005782029,True,True,True
38.73,2.127969079965339,False,False,True
24.27,0.5036901684383218,True,True,True
12.76,-0.789217872479795,True,True,True
30.06,1.1540757077012145,False,True,True
25.89,0.6856633245015148,True,True,True
48.33,3.206328523302778,False,False,False
13.27,-0.7319300270524935,True,True,True
28.17,0.9417736922941566,True,True,True
12.9,-0.7734917972644573,True,True,True
28.15,0.9395271101205366,True,True,True
11.59,-0.9206429296365454,True,True,True
7.74,-1.3531099980583308,False,True,True
30.14,1.1630620363956934,False,True,True
12.16,-0.8566153376883849,True,True,True
13.42,-0.715080660750346,True,True,True
8.58,-1.258753546766305,False,True,True
15.98,-0.42751814252702897,True,True,True
13.42,-0.715080660750346,True,True,True
16.27,-0.39494270100954393,True,True,True
10.09,-1.08913659265802,False,True,True
20.45,0.07459297327696589,True,True,True
13.28,-0.7308067359656838,True,True,True
22.12,0.2621825847742081,True,True,True
24.01,0.4744846001812664,True,True,True
15.69,-0.4600935840445142,True,True,True
11.61,-0.9183963474629258,True,True,True
10.77,-1.0127527987549516,False,True,True
15.53,-0.47806624143347154,True,True,True
10.07,-1.0913831748316398,False,True,True
12.6,-0.8071905298687523,True,True,True
32.83,1.465227338747538,False,True,True
35.83,1.8022146647904878,False,True,True
29.03,1.038376725759802,False,True,True
27.18,0.8305678746999829,True,True,True
22.67,0.3239635945487489,True,True,True
17.82,-0.22083258255401986,True,True,True
18.78,-0.11299663822027588,True,True,True
